probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
13964,2a03:1c00:0:2::2,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,8, 540.261666667,538.889
13964,80.88.241.238,,91.225.248.129,,4,13, 679.898666667,673.12
13964,2a03:1c00:0:2::2,,2620:109:c007:102::5be1:f881,,6,13, 1073.84166667,1064.716
13964,80.88.241.238,,52.17.191.158,ec2-52-17-191-158.eu-west-1.compute.amazonaws.com,4,255, 1040.23866667,1040.489
13964,2a03:1c00:0:2::2,,2a01:578:3::3433:12c6,,6,19, 852.437666667,850.863
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,172.217.19.196,ams16s31-in-f4.1e100.net,4,12, 1245.55733333,1239.888
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a00:1450:400e:808::2004,ams16s31-in-x04.1e100.net,6,11, 1055.21966667,1055.295
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,10, 1354.25433333,1352.075
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,10, 1017.06366667,1016.97
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,103.235.46.39,,4,15, 1459.69733333,1361.414
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,91.198.174.192,text-lb.esams.wikimedia.org,4,7, 1008.61366667,1006.898
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,7, 672.780333333,672.606
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,10, 1570.32033333,1488.564
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,10, 1184.35433333,1183.045
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,151.101.37.140,,4,8, 1022.977,1021.371
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,104.123.111.164,a104-123-111-164.deploy.static.akamaitechnologies.com,4,7, 1009.56633333,1009.982
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,104.244.42.1,,4,7, 776.598666667,776.156
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,95.213.11.181,srv181-11-213-95.vk.com,4,10, 1458.96533333,1455.792
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,157.56.198.220,origin.du131w.dub131.mail.live.com,4,17, 1818.86566667,1819.576
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,10, 1348.138,1341.723
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,10, 1017.36333333,1017.212
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,175.100.207.206,,4,14, 3432.688,3418.601
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,7, 1010.29466667,1009.521
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,7, 511.959666667,505.352
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,91.225.248.129,,4,9, 1372.85766667,1360.986
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2620:109:c007:102::5be1:f881,,6,8, 886.937666667,886.004
13734,105.16.152.2,pb-01-emg.za.seacomnet.com,54.171.226.127,ec2-54-171-226-127.eu-west-1.compute.amazonaws.com,4,255, 2193.21966667,2191.583
13734,2c0f:feb0:a:1::2,pb6-01-emg.za.seacomnet.com,2a01:578:3::36ab:de23,,6,255, 1357.44166667,1357.047
12833,138.36.65.27,,172.217.20.68,ams15s33-in-f4.1e100.net,4,17, 1397.37466667,1395.848
